Using device: mps
Sampling 1000 networks across 1 chunks of 1000...

--- Processing Chunk 1/1 (1000 networks) ---
Epoch 144 - Avg Loss: 0.0311, Best Loss: 0.0275
Epoch 145 - Avg Loss: 0.0311, Best Loss: 0.0274
Epoch 146 - Avg Loss: 0.0311, Best Loss: 0.0274
Epoch 147 - Avg Loss: 0.0310, Best Loss: 0.0274
Epoch 148 - Avg Loss: 0.0310, Best Loss: 0.0274
Epoch 149 - Avg Loss: 0.0310, Best Loss: 0.0273
Epoch 150 - Avg Loss: 0.0309, Best Loss: 0.0273
Epoch 151 - Avg Loss: 0.0309, Best Loss: 0.0272
Epoch 152 - Avg Loss: 0.0309, Best Loss: 0.0272
Epoch 153 - Avg Loss: 0.0309, Best Loss: 0.0272
Epoch 154 - Avg Loss: 0.0309, Best Loss: 0.0271
Epoch 155 - Avg Loss: 0.0308, Best Loss: 0.0271
Epoch 156 - Avg Loss: 0.0308, Best Loss: 0.0271
Epoch 157 - Avg Loss: 0.0308, Best Loss: 0.0270
Epoch 158 - Avg Loss: 0.0308, Best Loss: 0.0270
Epoch 159 - Avg Loss: 0.0308, Best Loss: 0.0269
Epoch 160 - Avg Loss: 0.0307, Best Loss: 0.0269
Epoch 161 - Avg Loss: 0.0307, Best Loss: 0.0269
Epoch 162 - Avg Loss: 0.0307, Best Loss: 0.0268
Epoch 163 - Avg Loss: 0.0307, Best Loss: 0.0268
Epoch 164 - Avg Loss: 0.0306, Best Loss: 0.0268
Epoch 165 - Avg Loss: 0.0306, Best Loss: 0.0268
Epoch 166 - Avg Loss: 0.0307, Best Loss: 0.0267
Epoch 167 - Avg Loss: 0.0306, Best Loss: 0.0267
Epoch 168 - Avg Loss: 0.0306, Best Loss: 0.0266
Epoch 169 - Avg Loss: 0.0306, Best Loss: 0.0267
Epoch 170 - Avg Loss: 0.0306, Best Loss: 0.0266
Epoch 171 - Avg Loss: 0.0306, Best Loss: 0.0267
Epoch 172 - Avg Loss: 0.0306, Best Loss: 0.0266
Epoch 173 - Avg Loss: 0.0305, Best Loss: 0.0266
Epoch 174 - Avg Loss: 0.0305, Best Loss: 0.0265
Epoch 175 - Avg Loss: 0.0305, Best Loss: 0.0264
Epoch 176 - Avg Loss: 0.0305, Best Loss: 0.0264
Epoch 177 - Avg Loss: 0.0305, Best Loss: 0.0264
Epoch 178 - Avg Loss: 0.0305, Best Loss: 0.0265
Epoch 179 - Avg Loss: 0.0305, Best Loss: 0.0265
Epoch 180 - Avg Loss: 0.0305, Best Loss: 0.0267
Epoch 181 - Avg Loss: 0.0305, Best Loss: 0.0264
Epoch 182 - Avg Loss: 0.0305, Best Loss: 0.0263
Epoch 183 - Avg Loss: 0.0305, Best Loss: 0.0264
Epoch 184 - Avg Loss: 0.0304, Best Loss: 0.0263
Epoch 185 - Avg Loss: 0.0304, Best Loss: 0.0262
Epoch 186 - Avg Loss: 0.0304, Best Loss: 0.0263
Epoch 187 - Avg Loss: 0.0305, Best Loss: 0.0261
Epoch 188 - Avg Loss: 0.0303, Best Loss: 0.0262
Epoch 189 - Avg Loss: 0.0303, Best Loss: 0.0262
Epoch 190 - Avg Loss: 0.0303, Best Loss: 0.0261
Epoch 191 - Avg Loss: 0.0303, Best Loss: 0.0261
Epoch 192 - Avg Loss: 0.0303, Best Loss: 0.0260
Epoch 193 - Avg Loss: 0.0304, Best Loss: 0.0260
Epoch 194 - Avg Loss: 0.0303, Best Loss: 0.0260
Epoch 195 - Avg Loss: 0.0303, Best Loss: 0.0260
Epoch 196 - Avg Loss: 0.0303, Best Loss: 0.0259
Epoch 197 - Avg Loss: 0.0303, Best Loss: 0.0260
Epoch 198 - Avg Loss: 0.0303, Best Loss: 0.0260
Epoch 199 - Avg Loss: 0.0303, Best Loss: 0.0259
Epoch 200 - Avg Loss: 0.0303, Best Loss: 0.0258
Epoch 201 - Avg Loss: 0.0307, Best Loss: 0.0259
Epoch 202 - Avg Loss: 0.0306, Best Loss: 0.0258
Epoch 203 - Avg Loss: 0.0305, Best Loss: 0.0258
Epoch 204 - Avg Loss: 0.0305, Best Loss: 0.0258
Epoch 205 - Avg Loss: 0.0305, Best Loss: 0.0258
Epoch 206 - Avg Loss: 0.0305, Best Loss: 0.0257
Epoch 207 - Avg Loss: 0.0306, Best Loss: 0.0257
Epoch 208 - Avg Loss: 0.0306, Best Loss: 0.0257
Epoch 209 - Avg Loss: 0.0306, Best Loss: 0.0257
Epoch 210 - Avg Loss: 0.0306, Best Loss: 0.0257
Epoch 211 - Avg Loss: 0.0305, Best Loss: 0.0257
Epoch 212 - Avg Loss: 0.0305, Best Loss: 0.0259
Epoch 213 - Avg Loss: 0.0305, Best Loss: 0.0263
Epoch 214 - Avg Loss: 0.0305, Best Loss: 0.0263
Epoch 215 - Avg Loss: 0.0304, Best Loss: 0.0263
Epoch 216 - Avg Loss: 0.0304, Best Loss: 0.0262
Epoch 217 - Avg Loss: 0.0304, Best Loss: 0.0262
Epoch 218 - Avg Loss: 0.0303, Best Loss: 0.0259
Epoch 219 - Avg Loss: 0.0303, Best Loss: 0.0257
Epoch 220 - Avg Loss: 0.0303, Best Loss: 0.0257
Epoch 221 - Avg Loss: 0.0302, Best Loss: 0.0258
Epoch 222 - Avg Loss: 0.0302, Best Loss: 0.0256
Epoch 223 - Avg Loss: 0.0302, Best Loss: 0.0257
Epoch 224 - Avg Loss: 0.0302, Best Loss: 0.0256
Epoch 225 - Avg Loss: 0.0301, Best Loss: 0.0256
